name,title,description
KJV_FearNot,"Knowing therefore that they are no gods, fear them not,","Knowing therefore that they are no gods, fear them not,"
KJV_FearNot,There is no fear in love; but perfect love casteth out fear: because fear hath torment. He that feareth is not made perfect in love.,There is no fear in love; but perfect love casteth out fear: because fear hath torment. He that feareth is not made perfect in love.
KJV_FearNot,"Fear them not therefore: for there is nothing covered, that shall not be revealed; and hid, that shall not be known.","Fear them not therefore: for there is nothing covered, that shall not be revealed; and hid, that shall not be known."
KJV_FearNot,"Say ye not, A confederacy, to all them to whom this people shall say, A confederacy; neither fear ye their fear, nor be afraid.","Say ye not, A confederacy, to all them to whom this people shall say, A confederacy; neither fear ye their fear, nor be afraid."
KJV_FearNot,And now do ye not believe meis not the king great in his powerdo not all regions fear to touch him?,And now do ye not believe meis not the king great in his powerdo not all regions fear to touch him?
KJV_FearNot,Whoso feareth the Lord shall not fear nor be afraid; for he is his hope.,Whoso feareth the Lord shall not fear nor be afraid; for he is his hope.
KJV_FearNot,"For now they shall say, We have no king, because we feared not the LORD ; what then should a king do to us?","For now they shall say, We have no king, because we feared not the LORD ; what then should a king do to us?"
KJV_FearNot,"And he would not for a while: but afterward he said within himself, Though I fear not God, nor regard man;","And he would not for a while: but afterward he said within himself, Though I fear not God, nor regard man;"
KJV_FearNot,By this ye may know that they are no gods: therefore fear them not.,By this ye may know that they are no gods: therefore fear them not.
KJV_FearNot,Whereby they are known not to be gods: therefore fear them not.,Whereby they are known not to be gods: therefore fear them not.
KJV_FearNot,It is then by no means manifest unto us that they are gods: therefore fear them not.,It is then by no means manifest unto us that they are gods: therefore fear them not.
KJV_FearNot,"And Moses said unto the people, Fear not: for God is come to prove you, and that his fear may be before your faces, that ye sin not.","And Moses said unto the people, Fear not: for God is come to prove you, and that his fear may be before your faces, that ye sin not."
KJV_FearNot,"Then would I speak, and not fear him; but it is not so with me.","Then would I speak, and not fear him; but it is not so with me."
KJV_FearNot,"Thou shalt not curse the deaf, nor put a stumblingblock before the blind, but shalt fear thy God: I am the LORD .","Thou shalt not curse the deaf, nor put a stumblingblock before the blind, but shalt fear thy God: I am the LORD ."
